time,close_BCN,high_BCN,low_BCN,open_BCN,volumefrom_BCN,volumeto_BCN
2017-09-15 11:01:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0,0.0
2017-09-15 11:02:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,75017.12,0.02479
2017-09-15 11:03:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0,0.0
2017-09-15 11:04:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,360.72,0.000119
2017-09-15 11:05:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0,0.0
2017-09-15 11:06:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0,0.0
2017-09-15 11:07:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,10000.0,0.0033
2017-09-15 11:08:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,177866.92,0.0587
2017-09-15 11:09:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,920661.4,0.3038
2017-09-15 11:10:00,3.3e-07,3.4e-07,3.2e-07,3.3e-07,5470982.66,1.79
2017-09-15 11:11:00,3.2e-07,3.4e-07,3.2e-07,3.3e-07,47218.3,0.01554
2017-09-15 11:12:00,3.4e-07,3.4e-07,3.2e-07,3.2e-07,103030.3,0.03342
2017-09-15 11:13:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,1463.26,0.0004975
2017-09-15 11:14:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0,0.0
2017-09-15 11:15:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0,0.0
2017-09-15 11:16:00,3.2e-07,3.4e-07,3.2e-07,3.4e-07,5733299.04,1.84
2017-09-15 11:17:00,3.3e-07,3.3e-07,3.2e-07,3.2e-07,362817.39,0.1186
2017-09-15 11:18:00,3.3e-07,3.3e-07,3.2e-07,3.3e-07,999637.33,0.3199
2017-09-15 11:19:00,3.3e-07,3.3e-07,3.2e-07,3.3e-07,647201.11,0.2129
2017-09-15 11:20:00,3.3e-07,3.3e-07,3.2e-07,3.3e-07,123705.2,0.04034
